model,n_samples,pct_consensus,pct_confusion,pct_balanced,pct_dominant,conflict_pct_dominant,aligned_pct_consensus
gemma3_12b,1876,52.4,14.45,0.32,32.84,79.64,85.05
gemma3_4b,1876,61.19,22.44,0.91,15.46,38.11,90.21
gemma4_12b,1934,63.13,32.16,0.1,4.6,6.66,80.79
glm4_6v_flash,1876,74.2,8.0,0.11,17.7,35.79,86.36
llava_onevision_qwen2_7b,1876,58.8,13.11,1.23,26.87,63.66,93.01
llava_v1_5_7b,1876,63.75,8.05,0.21,27.99,69.67,94.23
minicpm_v_2_6,1876,54.42,14.13,2.19,29.26,66.26,88.64
minicpm_v_4_5,1876,72.71,6.02,0.8,20.47,46.31,90.12
internvl3_5_8b,1876,80.12,6.02,0.48,13.38,26.09,90.47
phi3_5_vision,1876,74.89,17.59,0.32,7.2,0.0,85.14
qwen2_5_omni_7b,1934,54.34,27.66,0.16,17.84,39.36,92.59
qwen2_5_vl_7b,1876,52.61,16.36,0.85,30.17,66.67,85.75
qwen3_5_4b,1876,74.95,5.17,1.12,18.76,35.38,85.93
qwen3_5_9b,1876,85.18,3.73,0.37,10.71,24.86,92.13
qwen3_vl_8b,1876,50.85,21.96,1.28,25.91,54.51,82.69
