encoder,model,n_seeds,val_balanced_accuracy_ac_mean,val_balanced_accuracy_ac_std,val_D_gap_mean,val_D_gap_std,val_D_mannwhitney_p_mean,val_D_mannwhitney_p_std
ca_tme_bilstm,gemma3_12b,3,0.5629,0.0122,,,,
ca_tme_bilstm,gemma3_4b,3,0.5551,0.0537,,,,
ca_tme_bilstm,gemma4_12b,3,0.5196,0.0281,,,,
ca_tme_bilstm,glm4_6v_flash,3,0.5305,0.0049,,,,
ca_tme_bilstm,internvl3_5_8b,3,0.5825,0.0284,,,,
ca_tme_bilstm,llava_onevision_qwen2_7b,3,0.5593,0.0244,,,,
ca_tme_bilstm,llava_v1_5_7b,3,0.5275,0.0075,,,,
ca_tme_bilstm,minicpm_v_2_6,3,0.5498,0.0308,,,,
ca_tme_bilstm,minicpm_v_4_5,3,0.5556,0.0421,,,,
ca_tme_bilstm,phi3_5_vision,3,0.5162,0.0223,,,,
ca_tme_bilstm,qwen2_5_omni_7b,3,0.5485,0.0231,,,,
ca_tme_bilstm,qwen2_5_vl_7b,3,0.571,0.0073,,,,
ca_tme_bilstm,qwen3_5_4b,3,0.5927,0.0055,,,,
ca_tme_bilstm,qwen3_5_9b,3,0.5609,0.0207,,,,
ca_tme_bilstm,qwen3_vl_8b,3,0.6233,0.0087,,,,
ca_tme_gru,gemma3_12b,3,0.5998,0.0325,,,,
ca_tme_gru,gemma3_4b,3,0.5857,0.0368,,,,
ca_tme_gru,gemma4_12b,3,0.4913,0.0098,,,,
ca_tme_gru,glm4_6v_flash,3,0.5318,0.0108,,,,
ca_tme_gru,internvl3_5_8b,3,0.5992,0.0062,,,,
ca_tme_gru,llava_onevision_qwen2_7b,3,0.6037,0.0264,,,,
ca_tme_gru,llava_v1_5_7b,3,0.6354,0.0493,,,,
ca_tme_gru,minicpm_v_2_6,3,0.5544,0.0428,,,,
ca_tme_gru,minicpm_v_4_5,3,0.5716,0.0451,,,,
ca_tme_gru,phi3_5_vision,3,0.5816,0.0522,,,,
ca_tme_gru,qwen2_5_omni_7b,3,0.5317,0.0681,,,,
ca_tme_gru,qwen2_5_vl_7b,3,0.5737,0.0256,,,,
ca_tme_gru,qwen3_5_4b,3,0.5737,0.0016,,,,
ca_tme_gru,qwen3_5_9b,3,0.5996,0.0319,,,,
ca_tme_gru,qwen3_vl_8b,3,0.6654,0.0466,,,,
ca_tme_lstm,gemma3_12b,3,0.5798,0.0294,,,,
ca_tme_lstm,gemma3_4b,3,0.5997,0.0309,,,,
ca_tme_lstm,gemma4_12b,3,0.5038,0.0185,,,,
ca_tme_lstm,glm4_6v_flash,3,0.5213,0.0116,,,,
ca_tme_lstm,internvl3_5_8b,3,0.6086,0.0874,,,,
ca_tme_lstm,llava_onevision_qwen2_7b,3,0.5667,0.02,,,,
ca_tme_lstm,llava_v1_5_7b,3,0.5571,0.0648,,,,
ca_tme_lstm,minicpm_v_2_6,3,0.5237,0.0237,,,,
ca_tme_lstm,minicpm_v_4_5,3,0.587,0.0531,,,,
ca_tme_lstm,phi3_5_vision,3,0.5569,0.0371,,,,
ca_tme_lstm,qwen2_5_omni_7b,3,0.5645,0.0589,,,,
ca_tme_lstm,qwen2_5_vl_7b,3,0.5759,0.0197,,,,
ca_tme_lstm,qwen3_5_4b,3,0.5647,0.0214,,,,
ca_tme_lstm,qwen3_5_9b,3,0.5734,0.0299,,,,
ca_tme_lstm,qwen3_vl_8b,3,0.625,0.0287,,,,
