model,n_samples,pct_consensus,pct_confusion,pct_balanced,pct_dominant,conflict_pct_dominant,aligned_pct_consensus
gemma3_12b,2035,67.91,15.23,0.49,16.36,34.69,69.28
gemma3_4b,2035,40.29,58.23,0.0,1.47,2.04,41.63
gemma4_12b,2190,4.38,21.55,0.0,74.06,79.59,4.34
glm4_6v_flash,2035,43.88,55.97,0.0,0.15,0.68,43.75
llava_onevision_qwen2_7b,2035,67.03,26.34,0.34,6.29,10.88,68.22
llava_v1_5_7b,2035,69.73,28.75,0.0,1.52,4.08,71.08
minicpm_v_2_6,2035,25.6,72.97,0.15,1.28,1.36,25.79
minicpm_v_4_5,2035,15.72,81.38,0.1,2.8,2.04,15.62
internvl3_5_8b,2035,64.91,32.63,0.1,2.36,0.68,65.04
phi3_5_vision,2035,36.12,63.88,0.0,0.0,0.0,36.49
qwen2_5_omni_7b,2190,7.26,92.69,0.0,0.05,0.0,7.33
qwen2_5_vl_7b,2035,29.43,17.49,5.65,47.42,56.46,30.19
qwen3_5_4b,2035,66.0,5.36,3.73,24.91,17.69,65.1
qwen3_5_9b,2035,70.66,27.37,0.29,1.67,2.72,71.08
qwen3_vl_8b,2035,49.73,32.04,2.26,15.97,26.53,51.91
