model,sample_type,pattern,count,total,proportion
internvl3_5_8b,Aligned,Confusion,16,194,0.08247422680412371
internvl3_5_8b,Aligned,Consensus,167,194,0.8608247422680413
internvl3_5_8b,Aligned,Dominant,11,194,0.05670103092783505
internvl3_5_8b,Conflict,Balanced,1,110,0.00909090909090909
internvl3_5_8b,Conflict,Confusion,46,110,0.41818181818181815
internvl3_5_8b,Conflict,Consensus,31,110,0.2818181818181818
internvl3_5_8b,Conflict,Dominant,32,110,0.2909090909090909
qwen2_5_omni_7b,Aligned,Balanced,3,175,0.017142857142857144
qwen2_5_omni_7b,Aligned,Confusion,9,175,0.05142857142857143
qwen2_5_omni_7b,Aligned,Consensus,154,175,0.88
qwen2_5_omni_7b,Aligned,Dominant,9,175,0.05142857142857143
qwen2_5_omni_7b,Conflict,Confusion,3,130,0.023076923076923078
qwen2_5_omni_7b,Conflict,Consensus,14,130,0.1076923076923077
qwen2_5_omni_7b,Conflict,Dominant,113,130,0.8692307692307693
qwen3_vl_8b,Aligned,Confusion,11,194,0.05670103092783505
qwen3_vl_8b,Aligned,Consensus,176,194,0.9072164948453608
qwen3_vl_8b,Aligned,Dominant,7,194,0.03608247422680412
qwen3_vl_8b,Conflict,Confusion,47,110,0.42727272727272725
qwen3_vl_8b,Conflict,Consensus,47,110,0.42727272727272725
qwen3_vl_8b,Conflict,Dominant,16,110,0.14545454545454545
