panel,representation,model,protocol,seed,sample_id,sample_type,representation_split,umap_x,umap_y,silhouette_original,knn5_purity_original,status,budget_pct,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0035,Conflict,official_test,3.9590330123901367,0.07487433403730392,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0040,Conflict,official_test,4.057089805603027,0.19476112723350525,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0101,Conflict,official_test,-1.03697669506073,4.263352394104004,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0115,Conflict,official_test,-1.165147066116333,4.353269100189209,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0116,Conflict,official_test,-0.9503488540649414,4.625764846801758,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0118,Conflict,official_test,-1.2458387613296509,4.437227725982666,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0126,Conflict,official_test,-1.9253605604171753,4.675586223602295,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0135,Conflict,official_test,-0.9968181252479553,4.423969745635986,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0136,Conflict,official_test,-1.086644172668457,4.211682319641113,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0143,Conflict,official_test,-1.8468600511550903,4.635443687438965,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0147,Conflict,official_test,-1.1433470249176025,4.24746561050415,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0148,Conflict,official_test,-1.4087175130844116,4.621332168579102,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0161,Conflict,official_test,3.094849109649658,6.33969259262085,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0162,Conflict,official_test,-1.1780182123184204,4.227721691131592,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0168,Conflict,official_test,-3.4095351696014404,4.946154594421387,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0174,Conflict,official_test,-2.663905620574951,4.57673978805542,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0175,Conflict,official_test,-2.606304407119751,4.750072956085205,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0177,Conflict,official_test,-2.7033135890960693,5.011078357696533,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0182,Conflict,official_test,-1.2343286275863647,4.563868522644043,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0186,Conflict,official_test,-0.6506292223930359,3.8870129585266113,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0193,Conflict,official_test,-2.9595742225646973,5.23914909362793,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0198,Conflict,official_test,-1.5885937213897705,4.245021820068359,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
